ID,Nhóm,Mô tả,Ưu tiên,Tiền điều kiện,Các bước thực hiện,Kết quả mong đợi,Kết quả,Ghi chú
A-11,Trang chủ,"Không tạo plan trùng khi gửi lại (nonce)",P2,"Đã tạo thành công 1 plan","1. Gửi yêu cầu tạo plan X; 2. Bấm Back; 3. Gửi lại đúng cùng câu","Nhận đúng plan X cũ (cùng token); không tạo plan mới trùng lặp; không tốn thêm lượt",,
A-12,Trang chủ,"Hiểu nhiều cách viết thời lượng",P2,"Phiên mới mỗi lần test","1. Đi Hà Nội 2 giờ; 2. Đi Hà Nội từ 9h đến 17h; 3. Đi Hà Nội từ 20/8 đến 22/8; 4. Đi Hà Nội cuối tuần","(1)(2) → plan ngắn theo số giờ; (3)(4) → plan nhiều ngày; không hỏi lại thời lượng",,
A-13,Trang chủ,"Lọc HTML trong yêu cầu",P2,"Như trên","1. Nhập: <script>alert(1)</script> đi chơi Hà Nội cả ngày; 2. Gửi","Không có popup/script chạy; yêu cầu vẫn tạo được plan; văn bản hiển thị đã lọc < >",,
B-01,Workspace,"Hội thoại khởi đầu",P1,"Đã tạo plan (A-01)","1. Vào workspace /plan/{token}","Panel Trợ lý chuyến đi hiển thị lời chào: Mình đã xếp lịch theo đường đi, giờ mở cửa và ngân sách...; lịch sử có câu nhập ban đầu",,
B-02,Workspace,"Đổi số người và ngân sách qua chat",P1,"Đã có plan","1. Nhập: đi 3 người, ngân sách tối đa 500k; 2. Gửi","Bubble user rồi assistant xác nhận; tham số đổi thành 3 người, ngân sách ~500.000 VND; tổng chi phí tính lại; phiên bản tăng",,
B-03,Workspace,"Chat nhiều lượt liên tiếp (multi-turn)",P1,"Sau B-02","1. Nhập: 4 người, ưu tiên yên tĩnh; 2. Gửi","Số người đổi 4, ngân sách giữ ~500.000 VND; nhớ ngữ cảnh lượt trước; hội thoại đầy đủ user → assistant",,
B-04,Workspace,"Yêu cầu rẻ hơn → giảm ngân sách",P2,"Đã có plan","1. Nhập: Re hon hoặc rẻ hơn; 2. Gửi","Ngân sách giảm ~20%; plan xếp lại ưu tiên điểm rẻ",,
B-05,Workspace,"Yêu cầu địa điểm gần nhau",P2,"Đã có plan","1. Nhập: chọn địa điểm gần nhau, ít di chuyển; 2. Gửi","Plan mới ưu tiên điểm gần nhau hơn (khoảng cách/đường đi giảm)",,
B-06,Workspace,"Yêu cầu thêm quán cafe",P3,"Đã có plan","1. Nhập: thêm quán cafe; 2. Gửi","Plan mới có nhiều điểm cafe/đồ uống hơn (nếu phù hợp khung giờ)",,
B-07,Workspace,"Đổi 1 điểm đang chọn",P1,"Đã có plan","1. Chọn 1 điểm trên lịch trình hoặc bản đồ; 2. Nhập: đổi điểm này; 3. Gửi","Điểm đã chọn được thay bằng điểm tương tự; thông báo: Đã thay đúng một điểm...; phiên bản tăng; chi phí tính lại",,
B-08,Workspace,"Đổi điểm khi chưa chọn điểm",P2,"Đã có plan","1. Không chọn điểm nào; 2. Nhập: đổi điểm này; 3. Gửi","Hiện hướng dẫn: Hãy chọn một địa điểm cần đổi; plan không đổi",,
B-09,Workspace,"Xung đột phiên bản (đã đổi từ tab khác)",P2,"Mở cùng plan ở 2 tab","1. Tab A chat đi 3 người (v2); 2. Tab B (vẫn v1) chat đi 4 người","Tab B báo kế hoạch vừa được cập nhật, phải tải lại; không ghi đè thay đổi tab A",,
B-10,Workspace,"Link chia sẻ chỉ đọc",P2,"Đã có plan","1. Dùng nút Chia sẻ lấy link; 2. Mở link ở trình duyệt khác/ẩn danh","Xem được plan nhưng không tinh chỉnh được (từ chối quyền sửa)",,
B-11,Workspace,"Chat bị khoá khi đang chạy thao tác khác",P2,"Đã có plan","1. Bấm nút Làm lại hoặc đổi điểm; 2. Ngay lúc đó thử gõ và gửi chat","Ô chat + nút gửi bị disable tới khi thao tác xong; không gửi chồng",,
B-12,Workspace,"Hội thoại còn lại sau khi reload",P1,"Sau B-02","1. Reload trang (F5)","Toàn bộ hội thoại + plan phiên bản mới vẫn hiển thị đầy đủ",,
B-13,Workspace,"Lịch sử phiên bản sau tinh chỉnh",P2,"Sau 2 lần tinh chỉnh (B-02 + B-03)","1. Mở Lịch sử phiên bản","Danh sách phiên bản tăng theo mỗi lần tinh chỉnh; khôi phục phiên bản cũ hoạt động",,
B-14,Workspace,"Đổi ngôn ngữ giao diện",P2,"Đã có plan","1. Chuyển ngôn ngữ sang English hoặc ngôn ngữ khác","Lời chào, placeholder chat (For example: replace this place), thông báo assistant hiển thị theo ngôn ngữ đã chọn",,
B-15,Workspace,"HTML bị lọc trong tin nhắn chat",P2,"Đã có plan","1. Nhập: <script>alert(1)</script> rẻ hơn; 2. Gửi","Không có script chạy; yêu cầu rẻ hơn vẫn áp dụng; văn bản hiển thị đã lọc < >",,
